URLLength,DomainLength,IsDomainIP,TLDLength,NoOfSubDomain,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,HasObfuscation,NoOfSlashInURL,ContainsSuspiciousKeyword,Entropy,CharContinuationRate
30.0,22.0,0.0,3.0,1.0,25.0,0.8333,0.0,0.0,0.0,0.0,0.0,1.0,0.0333,1.0,0.0,2.0,0.0,4.0314,0.4667
28.0,20.0,0.0,3.0,1.0,23.0,0.8214,0.0,0.0,0.0,0.0,0.0,1.0,0.0357,1.0,0.0,2.0,0.0,3.9408,0.4286
25.0,17.0,0.0,3.0,1.0,20.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,2.0,0.0,3.6733,0.36
58.0,19.0,0.0,3.0,0.0,49.0,0.8448,0.0,0.0,0.0,0.0,0.0,1.0,0.0172,0.0,0.0,6.0,0.0,4.095,0.2586
25.0,17.0,0.0,3.0,1.0,20.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,2.0,0.0,3.6839,0.36
35.0,15.0,0.0,3.0,1.0,28.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0286,1.0,0.0,4.0,0.0,4.0791,0.2
23.0,15.0,0.0,3.0,1.0,18.0,0.7826,0.0,0.0,0.0,0.0,0.0,1.0,0.0435,1.0,0.0,2.0,0.0,3.654,0.3043
19.0,11.0,0.0,2.0,1.0,14.0,0.7368,0.0,0.0,0.0,0.0,0.0,1.0,0.0526,1.0,0.0,2.0,0.0,3.4316,0.2632
46.0,29.0,0.0,2.0,2.0,37.0,0.8043,0.0,0.0,0.0,0.0,0.0,2.0,0.0435,1.0,0.0,4.0,0.0,4.0379,0.1739
49.0,16.0,0.0,3.0,1.0,39.0,0.7959,0.0,0.0,0.0,0.0,0.0,3.0,0.0612,1.0,0.0,5.0,0.0,4.0734,0.1837
48.0,40.0,0.0,3.0,1.0,34.0,0.7083,6.0,0.125,0.0,0.0,0.0,3.0,0.0625,0.0,0.0,3.0,1.0,4.4961,0.3542
46.0,9.0,0.0,2.0,0.0,38.0,0.8261,0.0,0.0,0.0,0.0,0.0,1.0,0.0217,0.0,0.0,5.0,1.0,4.1164,0.2391
51.0,42.0,0.0,3.0,1.0,44.0,0.8627,0.0,0.0,0.0,0.0,0.0,2.0,0.0392,1.0,0.0,3.0,0.0,4.2307,0.3137
46.0,27.0,0.0,2.0,2.0,37.0,0.8043,0.0,0.0,0.0,0.0,0.0,1.0,0.0217,0.0,0.0,5.0,0.0,4.1456,0.3478
39.0,25.0,0.0,3.0,1.0,33.0,0.8462,0.0,0.0,0.0,0.0,0.0,1.0,0.0256,0.0,0.0,3.0,0.0,4.0478,0.2821
38.0,30.0,0.0,3.0,1.0,33.0,0.8684,0.0,0.0,0.0,0.0,0.0,1.0,0.0263,1.0,0.0,2.0,0.0,4.0632,0.5789
35.0,12.0,0.0,3.0,0.0,27.0,0.7714,1.0,0.0286,0.0,0.0,0.0,1.0,0.0286,0.0,0.0,5.0,0.0,4.0687,0.2286
72.0,12.0,0.0,3.0,1.0,60.0,0.8333,0.0,0.0,0.0,0.0,0.0,4.0,0.0556,0.0,0.0,5.0,0.0,4.3061,0.1389
32.0,24.0,0.0,3.0,2.0,26.0,0.8125,0.0,0.0,0.0,0.0,0.0,1.0,0.0312,1.0,0.0,2.0,0.0,4.2028,0.25
95.0,74.0,0.0,4.0,2.0,79.0,0.8316,8.0,0.0842,0.0,0.0,0.0,1.0,0.0105,1.0,0.0,3.0,0.0,4.8547,0.1368
57.0,14.0,0.0,3.0,1.0,48.0,0.8421,0.0,0.0,0.0,0.0,0.0,2.0,0.0351,0.0,0.0,5.0,0.0,4.2716,0.2281
49.0,18.0,0.0,2.0,0.0,37.0,0.7551,4.0,0.0816,0.0,0.0,0.0,1.0,0.0204,0.0,0.0,5.0,0.0,4.2803,0.3061
29.0,11.0,0.0,3.0,1.0,22.0,0.7586,0.0,0.0,0.0,0.0,0.0,1.0,0.0345,1.0,0.0,4.0,0.0,3.7975,0.1724
41.0,15.0,0.0,3.0,1.0,31.0,0.7561,1.0,0.0244,0.0,0.0,0.0,1.0,0.0244,1.0,0.0,5.0,0.0,4.1411,0.1707
31.0,23.0,0.0,3.0,1.0,26.0,0.8387,0.0,0.0,0.0,0.0,0.0,1.0,0.0323,1.0,0.0,2.0,0.0,4.0911,0.4839
48.0,15.0,0.0,3.0,1.0,41.0,0.8542,0.0,0.0,0.0,0.0,0.0,1.0,0.0208,1.0,0.0,4.0,0.0,4.3971,0.3958
25.0,18.0,0.0,3.0,1.0,20.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.0,2.0,0.0,3.6235,0.4
64.0,35.0,0.0,3.0,3.0,53.0,0.8281,0.0,0.0,0.0,0.0,0.0,1.0,0.0156,0.0,0.0,5.0,1.0,4.3282,0.25
53.0,20.0,0.0,3.0,1.0,44.0,0.8302,0.0,0.0,0.0,0.0,0.0,2.0,0.0377,0.0,0.0,4.0,0.0,4.3668,0.2264
26.0,7.0,0.0,3.0,0.0,20.0,0.7692,0.0,0.0,0.0,0.0,0.0,1.0,0.0385,1.0,0.0,4.0,0.0,3.8253,0.3462
52.0,23.0,0.0,3.0,1.0,44.0,0.8462,0.0,0.0,0.0,0.0,0.0,1.0,0.0192,1.0,0.0,5.0,0.0,4.1284,0.2885
40.0,21.0,0.0,3.0,1.0,31.0,0.775,0.0,0.0,0.0,0.0,0.0,2.0,0.05,0.0,0.0,5.0,0.0,4.2062,0.175
47.0,25.0,0.0,2.0,1.0,36.0,0.766,3.0,0.0638,0.0,0.0,0.0,1.0,0.0213,0.0,0.0,4.0,1.0,4.1795,0.383
76.0,13.0,0.0,2.0,1.0,42.0,0.5526,23.0,0.3026,0.0,0.0,0.0,2.0,0.0263,0.0,0.0,7.0,0.0,4.7411,0.0921
62.0,26.0,0.0,3.0,1.0,42.0,0.6774,12.0,0.1935,0.0,0.0,0.0,1.0,0.0161,0.0,0.0,4.0,0.0,4.5728,0.2903
19.0,10.0,0.0,3.0,0.0,14.0,0.7368,0.0,0.0,0.0,0.0,0.0,1.0,0.0526,1.0,0.0,3.0,0.0,3.5766,0.3158
30.0,22.0,0.0,3.0,1.0,25.0,0.8333,0.0,0.0,0.0,0.0,0.0,1.0,0.0333,1.0,0.0,2.0,0.0,4.0981,0.4667
89.0,19.0,0.0,2.0,1.0,60.0,0.6742,17.0,0.191,0.0,0.0,0.0,2.0,0.0225,0.0,0.0,8.0,0.0,4.7633,0.1348
39.0,10.0,0.0,3.0,0.0,32.0,0.8205,0.0,0.0,0.0,0.0,0.0,1.0,0.0256,0.0,0.0,4.0,0.0,3.9014,0.3333
22.0,14.0,0.0,2.0,2.0,16.0,0.7273,0.0,0.0,0.0,0.0,0.0,1.0,0.0455,1.0,0.0,2.0,0.0,3.4817,0.2273
52.0,17.0,0.0,3.0,1.0,41.0,0.7885,0.0,0.0,0.0,0.0,0.0,2.0,0.0385,0.0,0.0,6.0,0.0,3.967,0.1731
23.0,15.0,0.0,2.0,1.0,18.0,0.7826,0.0,0.0,0.0,0.0,0.0,1.0,0.0435,1.0,0.0,2.0,0.0,3.6753,0.3478
34.0,12.0,0.0,3.0,0.0,24.0,0.7059,2.0,0.0588,0.0,0.0,0.0,1.0,0.0294,1.0,0.0,5.0,0.0,4.1578,0.2059
52.0,6.0,0.0,3.0,0.0,41.0,0.7885,0.0,0.0,0.0,0.0,0.0,5.0,0.0962,0.0,0.0,5.0,0.0,4.1138,0.1538
20.0,12.0,0.0,2.0,1.0,15.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,2.0,0.0,3.4464,0.25
23.0,9.0,0.0,3.0,0.0,18.0,0.7826,0.0,0.0,0.0,0.0,0.0,1.0,0.0435,1.0,0.0,3.0,0.0,3.8492,0.2174
24.0,17.0,0.0,2.0,1.0,18.0,0.75,0.0,0.0,0.0,0.0,0.0,2.0,0.0833,0.0,0.0,2.0,0.0,3.7721,0.2917
33.0,26.0,0.0,3.0,1.0,28.0,0.8485,0.0,0.0,0.0,0.0,0.0,1.0,0.0303,0.0,0.0,2.0,0.0,4.2485,0.5455
57.0,19.0,0.0,3.0,1.0,48.0,0.8421,0.0,0.0,0.0,0.0,0.0,4.0,0.0702,0.0,0.0,3.0,0.0,4.263,0.193
49.0,15.0,0.0,3.0,0.0,37.0,0.7551,4.0,0.0816,0.0,0.0,0.0,1.0,0.0204,0.0,0.0,5.0,0.0,4.3291,0.2245
106.0,25.0,0.0,3.0,1.0,90.0,0.8491,0.0,0.0,0.0,0.0,0.0,7.0,0.066,0.0,0.0,6.0,0.0,4.2263,0.1038
54.0,17.0,0.0,3.0,1.0,43.0,0.7963,1.0,0.0185,0.0,0.0,0.0,4.0,0.0741,0.0,0.0,4.0,0.0,4.3589,0.1667
108.0,23.0,0.0,3.0,1.0,88.0,0.8148,5.0,0.0463,0.0,0.0,0.0,9.0,0.0833,0.0,0.0,3.0,0.0,4.4586,0.1204
27.0,19.0,0.0,3.0,1.0,22.0,0.8148,0.0,0.0,0.0,0.0,0.0,1.0,0.037,1.0,0.0,2.0,0.0,4.1064,0.4074
17.0,10.0,0.0,2.0,1.0,11.0,0.6471,1.0,0.0588,0.0,0.0,0.0,1.0,0.0588,0.0,0.0,2.0,0.0,3.0516,0.2353
35.0,15.0,0.0,3.0,1.0,28.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0286,0.0,0.0,3.0,0.0,4.1719,0.2
43.0,35.0,0.0,3.0,1.0,29.0,0.6744,6.0,0.1395,0.0,0.0,0.0,3.0,0.0698,0.0,0.0,3.0,0.0,4.2954,0.2326
81.0,23.0,0.0,2.0,2.0,49.0,0.6049,22.0,0.2716,0.0,0.0,0.0,1.0,0.0123,0.0,0.0,6.0,1.0,4.7206,0.1481
26.0,18.0,0.0,2.0,1.0,21.0,0.8077,0.0,0.0,0.0,0.0,0.0,1.0,0.0385,1.0,0.0,2.0,0.0,3.4266,0.4231
27.0,20.0,0.0,3.0,1.0,21.0,0.7778,0.0,0.0,0.0,0.0,0.0,2.0,0.0741,0.0,0.0,2.0,0.0,3.8842,0.2593
63.0,52.0,0.0,3.0,3.0,52.0,0.8254,0.0,0.0,0.0,0.0,0.0,3.0,0.0476,0.0,0.0,4.0,0.0,4.1358,0.2381
27.0,19.0,0.0,3.0,1.0,21.0,0.7778,0.0,0.0,0.0,0.0,0.0,2.0,0.0741,1.0,0.0,2.0,0.0,3.9582,0.1852
24.0,12.0,0.0,3.0,0.0,18.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0417,0.0,0.0,4.0,0.0,3.8035,0.3333
29.0,21.0,0.0,3.0,1.0,24.0,0.8276,0.0,0.0,0.0,0.0,0.0,1.0,0.0345,1.0,0.0,2.0,0.0,4.0213,0.4483
28.0,20.0,0.0,3.0,1.0,22.0,0.7857,0.0,0.0,0.0,0.0,0.0,2.0,0.0714,1.0,0.0,2.0,0.0,4.0391,0.2857
27.0,20.0,0.0,3.0,1.0,20.0,0.7407,0.0,0.0,0.0,0.0,0.0,3.0,0.1111,0.0,0.0,2.0,0.0,4.1343,0.2593
158.0,17.0,0.0,2.0,0.0,120.0,0.7595,28.0,0.1772,1.0,1.0,1.0,2.0,0.0127,1.0,0.0,4.0,0.0,5.1141,0.0759
26.0,18.0,0.0,3.0,1.0,21.0,0.8077,0.0,0.0,0.0,0.0,0.0,1.0,0.0385,1.0,0.0,2.0,0.0,3.8731,0.3846
30.0,22.0,0.0,3.0,1.0,25.0,0.8333,0.0,0.0,0.0,0.0,0.0,1.0,0.0333,1.0,0.0,2.0,0.0,3.8314,0.4667
243.0,17.0,0.0,3.0,0.0,145.0,0.5967,52.0,0.214,4.0,1.0,9.0,12.0,0.0494,0.0,1.0,6.0,0.0,5.2343,0.0617
80.0,19.0,0.0,3.0,0.0,52.0,0.65,19.0,0.2375,1.0,1.0,0.0,1.0,0.0125,1.0,0.0,4.0,1.0,4.7464,0.1875
27.0,18.0,0.0,3.0,1.0,21.0,0.7778,0.0,0.0,0.0,0.0,0.0,1.0,0.037,1.0,0.0,3.0,0.0,3.6619,0.3704
54.0,17.0,0.0,3.0,1.0,44.0,0.8148,0.0,0.0,0.0,0.0,0.0,4.0,0.0741,1.0,0.0,4.0,0.0,4.102,0.2037
62.0,23.0,0.0,3.0,1.0,42.0,0.6774,9.0,0.1452,0.0,0.0,0.0,1.0,0.0161,0.0,0.0,6.0,0.0,4.7399,0.2419
36.0,27.0,0.0,3.0,1.0,25.0,0.6944,4.0,0.1111,0.0,0.0,0.0,2.0,0.0556,1.0,0.0,3.0,0.0,4.1972,0.3056
20.0,12.0,0.0,2.0,1.0,15.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,2.0,0.0,3.5842,0.25
19.0,11.0,0.0,3.0,1.0,14.0,0.7368,0.0,0.0,0.0,0.0,0.0,1.0,0.0526,1.0,0.0,2.0,0.0,3.5766,0.2632
38.0,16.0,0.0,3.0,1.0,30.0,0.7895,0.0,0.0,0.0,0.0,0.0,2.0,0.0526,1.0,0.0,4.0,0.0,4.1331,0.2368
44.0,10.0,0.0,3.0,0.0,34.0,0.7727,1.0,0.0227,1.0,1.0,0.0,1.0,0.0227,0.0,0.0,4.0,0.0,4.4423,0.2045
29.0,22.0,0.0,5.0,1.0,24.0,0.8276,0.0,0.0,0.0,0.0,0.0,1.0,0.0345,0.0,0.0,2.0,0.0,3.7714,0.4138
134.0,24.0,0.0,2.0,1.0,85.0,0.6343,29.0,0.2164,3.0,1.0,2.0,5.0,0.0373,0.0,0.0,6.0,1.0,5.0694,0.0746
27.0,19.0,0.0,2.0,2.0,21.0,0.7778,0.0,0.0,0.0,0.0,0.0,1.0,0.037,1.0,0.0,2.0,0.0,3.8842,0.2963
30.0,22.0,0.0,3.0,1.0,25.0,0.8333,0.0,0.0,0.0,0.0,0.0,1.0,0.0333,1.0,0.0,2.0,0.0,4.1232,0.4667
59.0,51.0,0.0,2.0,1.0,52.0,0.8814,0.0,0.0,0.0,0.0,0.0,3.0,0.0508,1.0,0.0,2.0,0.0,4.1574,0.5424
33.0,11.0,0.0,2.0,1.0,26.0,0.7879,0.0,0.0,0.0,0.0,0.0,2.0,0.0606,1.0,0.0,3.0,1.0,3.9226,0.2424
18.0,9.0,0.0,2.0,0.0,13.0,0.7222,0.0,0.0,0.0,0.0,0.0,1.0,0.0556,1.0,0.0,3.0,0.0,3.5724,0.3333
172.0,16.0,0.0,3.0,0.0,127.0,0.7384,23.0,0.1337,1.0,0.0,0.0,5.0,0.0291,0.0,0.0,14.0,0.0,4.6878,0.0698
24.0,17.0,0.0,3.0,1.0,18.0,0.75,1.0,0.0417,0.0,0.0,0.0,1.0,0.0417,0.0,0.0,2.0,0.0,3.8035,0.1667
36.0,28.0,0.0,3.0,1.0,31.0,0.8611,0.0,0.0,0.0,0.0,0.0,1.0,0.0278,1.0,0.0,2.0,0.0,4.3083,0.5556
44.0,12.0,0.0,3.0,0.0,36.0,0.8182,0.0,0.0,0.0,0.0,0.0,1.0,0.0227,0.0,0.0,5.0,1.0,4.2067,0.2273
40.0,15.0,0.0,3.0,1.0,32.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.0,5.0,0.0,3.9414,0.2
49.0,23.0,0.0,3.0,1.0,40.0,0.8163,0.0,0.0,0.0,0.0,0.0,3.0,0.0612,1.0,0.0,4.0,0.0,4.4256,0.2041
28.0,20.0,0.0,3.0,1.0,23.0,0.8214,0.0,0.0,0.0,0.0,0.0,1.0,0.0357,1.0,0.0,2.0,0.0,3.8693,0.4286
58.0,24.0,0.0,3.0,1.0,48.0,0.8276,0.0,0.0,0.0,0.0,0.0,2.0,0.0345,0.0,0.0,5.0,0.0,4.2546,0.2759
55.0,16.0,0.0,3.0,1.0,39.0,0.7091,4.0,0.0727,0.0,0.0,0.0,6.0,0.1091,1.0,0.0,4.0,0.0,4.6946,0.1636
36.0,22.0,0.0,2.0,2.0,28.0,0.7778,0.0,0.0,0.0,0.0,0.0,1.0,0.0278,0.0,0.0,4.0,0.0,4.0169,0.3056
33.0,25.0,0.0,3.0,1.0,28.0,0.8485,0.0,0.0,0.0,0.0,0.0,1.0,0.0303,1.0,0.0,2.0,0.0,4.1353,0.5152
286.0,16.0,0.0,3.0,1.0,105.0,0.3671,89.0,0.3112,0.0,0.0,0.0,85.0,0.2972,1.0,1.0,5.0,0.0,3.7132,0.042
33.0,24.0,0.0,4.0,1.0,26.0,0.7879,1.0,0.0303,0.0,0.0,0.0,1.0,0.0303,1.0,0.0,3.0,0.0,4.0667,0.3333
62.0,23.0,0.0,3.0,1.0,53.0,0.8548,0.0,0.0,0.0,0.0,0.0,1.0,0.0161,0.0,0.0,5.0,0.0,4.1378,0.2419
30.0,23.0,0.0,3.0,1.0,24.0,0.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0667,0.0,0.0,2.0,1.0,4.0314,0.2667
31.0,5.0,0.0,2.0,0.0,26.0,0.8387,0.0,0.0,0.0,0.0,0.0,1.0,0.0323,1.0,0.0,3.0,0.0,4.0023,0.5484
27.0,20.0,0.0,2.0,2.0,14.0,0.5185,7.0,0.2593,0.0,0.0,0.0,1.0,0.037,0.0,0.0,2.0,0.0,4.0323,0.2593
28.0,20.0,0.0,3.0,1.0,23.0,0.8214,0.0,0.0,0.0,0.0,0.0,1.0,0.0357,1.0,0.0,2.0,0.0,3.7265,0.4286
32.0,24.0,0.0,2.0,1.0,27.0,0.8438,0.0,0.0,0.0,0.0,0.0,1.0,0.0312,1.0,0.0,2.0,0.0,3.9528,0.5312
30.0,22.0,0.0,3.0,1.0,25.0,0.8333,0.0,0.0,0.0,0.0,0.0,1.0,0.0333,1.0,0.0,2.0,0.0,4.0151,0.4667
30.0,22.0,0.0,3.0,2.0,24.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0333,1.0,0.0,2.0,0.0,3.7777,0.2667
90.0,7.0,0.0,2.0,0.0,71.0,0.7889,11.0,0.1222,0.0,0.0,0.0,1.0,0.0111,1.0,0.0,5.0,0.0,4.806,0.1111
23.0,15.0,0.0,2.0,1.0,18.0,0.7826,0.0,0.0,0.0,0.0,0.0,1.0,0.0435,1.0,0.0,2.0,0.0,3.654,0.3478
47.0,38.0,0.0,3.0,1.0,41.0,0.8723,0.0,0.0,0.0,0.0,0.0,1.0,0.0213,1.0,0.0,3.0,0.0,4.0866,0.4681
35.0,17.0,0.0,3.0,1.0,28.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0286,1.0,0.0,4.0,0.0,4.0576,0.2857
48.0,18.0,0.0,3.0,1.0,40.0,0.8333,0.0,0.0,0.0,0.0,0.0,2.0,0.0417,1.0,0.0,4.0,0.0,4.054,0.2083
55.0,27.0,0.0,3.0,0.0,44.0,0.8,5.0,0.0909,0.0,0.0,0.0,1.0,0.0182,1.0,0.0,4.0,0.0,4.4316,0.4182
28.0,20.0,0.0,3.0,1.0,23.0,0.8214,0.0,0.0,0.0,0.0,0.0,1.0,0.0357,1.0,0.0,2.0,0.0,3.7804,0.4286
27.0,18.0,0.0,3.0,1.0,19.0,0.7037,2.0,0.0741,0.0,0.0,0.0,1.0,0.037,1.0,0.0,3.0,0.0,4.0043,0.1852
22.0,15.0,0.0,3.0,1.0,17.0,0.7727,0.0,0.0,0.0,0.0,0.0,1.0,0.0455,0.0,0.0,2.0,0.0,3.5726,0.3182
32.0,24.0,0.0,3.0,2.0,26.0,0.8125,0.0,0.0,0.0,0.0,0.0,1.0,0.0312,1.0,0.0,2.0,0.0,4.0306,0.375
130.0,24.0,0.0,3.0,1.0,111.0,0.8538,0.0,0.0,0.0,0.0,0.0,10.0,0.0769,1.0,0.0,7.0,0.0,4.2263,0.1
32.0,23.0,0.0,3.0,1.0,23.0,0.7188,3.0,0.0938,0.0,0.0,0.0,1.0,0.0312,1.0,0.0,3.0,0.0,3.9886,0.25
34.0,18.0,0.0,3.0,1.0,27.0,0.7941,0.0,0.0,0.0,0.0,0.0,1.0,0.0294,0.0,0.0,4.0,0.0,3.881,0.2941
60.0,15.0,0.0,3.0,0.0,48.0,0.8,1.0,0.0167,2.0,1.0,0.0,1.0,0.0167,0.0,0.0,4.0,0.0,4.427,0.1833
58.0,35.0,0.0,2.0,1.0,46.0,0.7931,5.0,0.0862,0.0,1.0,0.0,1.0,0.0172,1.0,0.0,3.0,0.0,4.4548,0.2759
67.0,7.0,0.0,2.0,0.0,57.0,0.8507,4.0,0.0597,0.0,0.0,0.0,1.0,0.0149,1.0,0.0,4.0,0.0,4.5468,0.2836
34.0,27.0,0.0,6.0,1.0,29.0,0.8529,0.0,0.0,0.0,0.0,0.0,1.0,0.0294,0.0,0.0,2.0,0.0,4.2784,0.4706
315.0,18.0,0.0,3.0,0.0,198.0,0.6286,62.0,0.1968,6.0,2.0,10.0,13.0,0.0413,0.0,0.0,9.0,0.0,5.1044,0.0476
117.0,78.0,0.0,3.0,4.0,85.0,0.7265,22.0,0.188,0.0,1.0,0.0,1.0,0.0085,0.0,0.0,3.0,0.0,4.7446,0.1368
48.0,18.0,0.0,2.0,1.0,30.0,0.625,8.0,0.1667,0.0,0.0,0.0,2.0,0.0417,0.0,0.0,5.0,0.0,4.483,0.1667
31.0,24.0,0.0,2.0,3.0,22.0,0.7097,2.0,0.0645,0.0,0.0,0.0,1.0,0.0323,0.0,0.0,2.0,0.0,3.889,0.2258
106.0,22.0,0.0,3.0,0.0,93.0,0.8774,0.0,0.0,0.0,0.0,0.0,6.0,0.0566,1.0,0.0,5.0,0.0,4.2346,0.1698
19.0,12.0,0.0,3.0,1.0,12.0,0.6316,2.0,0.1053,0.0,0.0,0.0,1.0,0.0526,0.0,0.0,2.0,0.0,3.5766,0.2105
46.0,37.0,0.0,3.0,1.0,29.0,0.6304,8.0,0.1739,0.0,0.0,0.0,4.0,0.087,1.0,0.0,3.0,0.0,4.284,0.1739
40.0,24.0,0.0,3.0,0.0,34.0,0.85,0.0,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.0,4.0,0.0,3.9226,0.5
34.0,27.0,0.0,3.0,1.0,29.0,0.8529,0.0,0.0,0.0,0.0,0.0,1.0,0.0294,0.0,0.0,2.0,0.0,4.2195,0.5588
59.0,13.0,0.0,2.0,1.0,49.0,0.8305,0.0,0.0,0.0,0.0,0.0,1.0,0.0169,0.0,0.0,6.0,0.0,4.0858,0.1695
28.0,21.0,0.0,2.0,1.0,21.0,0.75,0.0,0.0,0.0,0.0,0.0,3.0,0.1071,0.0,0.0,2.0,0.0,3.9947,0.1786
43.0,23.0,0.0,4.0,1.0,33.0,0.7674,2.0,0.0465,0.0,0.0,0.0,2.0,0.0465,0.0,0.0,3.0,0.0,4.2778,0.2558
47.0,40.0,0.0,3.0,3.0,36.0,0.766,1.0,0.0213,0.0,0.0,0.0,4.0,0.0851,0.0,0.0,2.0,0.0,4.2485,0.1915
31.0,23.0,0.0,3.0,1.0,25.0,0.8065,0.0,0.0,0.0,0.0,0.0,1.0,0.0323,0.0,0.0,3.0,0.0,3.5791,0.4839
27.0,19.0,0.0,3.0,1.0,22.0,0.8148,0.0,0.0,0.0,0.0,0.0,1.0,0.037,1.0,0.0,2.0,0.0,3.9582,0.4074
33.0,17.0,0.0,4.0,0.0,26.0,0.7879,0.0,0.0,0.0,0.0,0.0,2.0,0.0606,0.0,0.0,4.0,0.0,4.0518,0.3636
110.0,17.0,0.0,3.0,0.0,85.0,0.7727,8.0,0.0727,0.0,0.0,0.0,11.0,0.1,0.0,0.0,5.0,0.0,4.509,0.1182
251.0,13.0,1.0,0.0,0.0,173.0,0.6892,40.0,0.1594,5.0,3.0,4.0,7.0,0.0279,0.0,0.0,9.0,1.0,5.1969,0.0637
38.0,30.0,0.0,3.0,1.0,25.0,0.6579,6.0,0.1579,0.0,0.0,0.0,2.0,0.0526,0.0,0.0,3.0,0.0,4.2512,0.2632
30.0,22.0,0.0,2.0,1.0,25.0,0.8333,0.0,0.0,0.0,0.0,0.0,1.0,0.0333,1.0,0.0,2.0,0.0,3.8314,0.5
115.0,15.0,0.0,3.0,0.0,89.0,0.7739,6.0,0.0522,0.0,0.0,0.0,12.0,0.1043,1.0,0.0,7.0,0.0,4.4272,0.0957
48.0,20.0,0.0,2.0,1.0,36.0,0.75,3.0,0.0625,0.0,0.0,0.0,3.0,0.0625,0.0,0.0,3.0,0.0,4.1051,0.1667
74.0,15.0,0.0,2.0,2.0,50.0,0.6757,10.0,0.1351,0.0,0.0,0.0,5.0,0.0676,1.0,0.0,5.0,1.0,4.6911,0.1081
25.0,18.0,0.0,2.0,1.0,20.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.0,2.0,0.0,3.8137,0.44
65.0,17.0,0.0,3.0,0.0,46.0,0.7077,7.0,0.1077,0.0,0.0,0.0,7.0,0.1077,1.0,0.0,3.0,0.0,4.4746,0.2
95.0,13.0,0.0,3.0,1.0,68.0,0.7158,12.0,0.1263,0.0,0.0,0.0,6.0,0.0632,0.0,0.0,6.0,0.0,4.6789,0.0947
48.0,14.0,0.0,3.0,1.0,37.0,0.7708,0.0,0.0,0.0,0.0,0.0,5.0,0.1042,0.0,0.0,4.0,0.0,4.1395,0.125
29.0,22.0,0.0,3.0,1.0,24.0,0.8276,0.0,0.0,0.0,0.0,0.0,1.0,0.0345,0.0,0.0,2.0,0.0,4.2113,0.3448
